"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,3.4926140432956,5.76791766463527,6.66075200236281,7.303833425289,7.59795232238743,8.79719662813692,8.8704476445665,9.03668118074881,10.2954770867245,10.406797110744
"2",0,2.07806015883562,3.03669268852953,3.27584301997494,3.85949006296995,4.1815814798682,4.89037438761943,5.02776897391064,5.11714425639314,5.67901822351586,6.11332101837822
"3",0,4.09494561324186,5.58855005885078,5.97496993888938,6.00355345430966,6.29289036161401,6.45377920508124,6.58779915363489,6.91112066230135,7.33181363251362,7.46654262012421
"4",0,3.96507933948581,4.85863960665057,5.11513594562339,6.33886618716665,6.41941587164044,6.66677519281786,7.23068459380117,7.57993215521433,8.06529386058894,8.3367384446244
"5",0,2.38150169340766,3.04329582537498,3.67340520740859,4.76565250595979,4.82508162591579,5.41113554915909,5.70216330799732,5.98051103870227,6.33990120251794,6.53197624906225
"6",0,1.95179719610583,3.09327539514342,4.32024325538303,5.09172646025215,5.32899920397755,5.6948441505702,6.06856338468104,6.39231839432356,6.56330129835738,7.05958639097063
"7",0,3.18518053935998,3.87417363712731,4.0919599897586,4.19858832716507,4.7256886349315,4.97804843582196,5.81769851487004,6.75123678627906,6.80386164664355,6.87005928182528
"8",0,2.72894502894446,4.04372955931173,4.39031228856931,5.05014034845815,6.07206488491598,6.57273309821267,6.7366803088826,7.42671811765716,8.54826498083538,9.09617929182001
"9",0,2.36698101014804,3.04653054430061,3.18848364885712,3.34858520578301,3.5274049199822,4.24150930804991,4.71623848091567,5.22125396797193,5.6734348332711,6.44532084440715
"10",0,2.44971201586443,4.45226529800386,5.67368480707647,7.24531161572082,8.30463138043735,8.45890811695503,8.5067370188561,8.66796488896851,8.97964577968225,9.38968017395552
"11",0,2.89406865534636,3.31049551972829,3.59752492456806,4.60518217005107,5.63451884738503,5.83110120910547,6.31212804690737,7.18028749455288,7.65096132169074,8.06419487811138
"12",0,1.7253990021332,2.56417887605559,3.8442324324892,3.90684691201813,4.48072948564016,4.82225199655049,5.10891866743748,5.41461517307713,5.42807136292919,5.69983880129588
"13",0,2.3831990222808,3.49252687894021,4.64658117618042,5.36494880395318,5.97037393646034,7.03766975120626,8.50948220128956,9.41289233985829,9.70477598625557,10.3588860566978
"14",0,2.04402608904299,3.28382459450834,3.80728332091196,4.50901673888035,4.83435164289937,5.55496844847398,5.80203141687438,6.24334476383082,7.47405527999181,7.49412870245095
"15",0,2.26902961081688,3.1976042950051,4.28493493374444,4.69688975951518,5.57268616702891,6.63206025582042,7.69630539722836,8.30264465067109,8.38799302790911,8.85506988789881
"16",0,2.2406845544891,2.80980395853705,3.82546648596189,4.28766982399721,4.35491467459447,4.99886678048281,5.24808540884631,5.8456664225095,7.55893769577728,7.75711159058136
"17",0,1.93154055030394,2.46041611321947,2.92216427720046,4.13038588884025,5.13500240727878,5.61156339140142,6.11200392650137,6.94023357096385,7.20691521555226,8.17233071816291
"18",0,2.12165720614816,2.32748977001571,2.85953467945705,2.96497145627435,3.19789129426065,3.89423129717335,4.76168904008445,5.4533359769637,5.89882523567677,6.76740843392776
"19",0,3.0133951095042,4.62508296938146,5.00738207481628,5.3548101573699,5.71970733868794,5.80728624976084,5.84659296810473,6.71281434581837,6.72229182689126,7.99814214608603
"20",0,3.47370401255379,3.93250443869011,4.16667106395246,4.44532281702381,5.25958906978904,6.39326008948373,6.40073452484067,6.763752396258,6.96610024010789,7.05240937178642
"21",0,2.72352908212086,3.70285121861703,5.01510829292788,5.86133802735023,6.28422651427969,6.6159155941054,7.23233064707076,7.30931953080694,7.67453748806156,7.76611299128894
"22",0,2.85111144839171,3.42925643808357,4.13556032199218,4.28564808292077,4.98538503916155,5.90899008369701,6.31635126695296,7.28701692053918,7.38010969729811,7.85822051340458
"23",0,0.959476106852401,2.27261374882329,3.80582899361154,3.98970024455861,4.69356574012324,5.20014545020405,6.06849876895356,6.72041599944005,6.94745822567238,7.42254391744367
"24",0,2.65019812538666,3.7434981654785,4.22706806579649,4.68671502767414,5.40365959103974,5.87441327154079,6.60236000406633,6.6855640334303,6.98817501098574,7.92170788191555
"25",0,3.52787597640976,4.36843758979236,4.52378117353018,4.55664597191666,5.54402228062434,6.13210017172176,6.66156572992323,6.76505308591004,6.99241599892956,7.69105115019932
"26",0,1.94272994886263,3.15135928437385,3.38028075706262,3.72679320924382,4.77378725125251,5.4162869601759,6.57934413735008,7.33583952017906,7.84963786571081,8.65827065947794
"27",0,1.69505858535909,2.39083171033025,4.29247811069995,4.70630382919266,4.77206134303724,5.03180512808962,5.13093706701679,5.15280881817952,5.51411058581172,5.84048476009344
"28",0,1.79995802177031,2.49242515545018,3.36310978393667,3.45194116451413,4.26556207506915,4.51710145234925,4.5638325024323,4.70885402714771,5.28335142444244,6.17125346801966
"29",0,4.356001968283,4.71622380553244,5.10655162478348,5.8851842787362,6.29343160096906,7.2368980886246,7.26209756848228,7.37511923436654,7.44969503785366,8.07907908651886
"30",0,2.38714529661512,3.20707759666537,3.29804570599525,3.34095444494816,4.96218841698311,5.54033567543347,5.58764265152249,5.93144238532301,6.48919801750726,6.64112998314007
